sku_id,elasticity_gmv,elasticity_orders_num
234,-0.01,-0.40420277769422414
235,-0.01,-0.06759271532153156
236,-0.01,-0.06992547550071891
240,-0.01,-0.01
242,-0.01,-0.01
243,-0.01,-0.342796053092092
244,-0.01,-0.01
246,-0.01,-0.01
247,-0.01,-0.01
248,-0.01,-0.3284100313412425
251,-0.01,-0.01
255,-0.01,-0.1445967779546716
257,-0.01,-0.04737090012498458
260,-0.01,-0.5679217263198856
262,-0.01,-0.4325179639367246
265,-0.01,-0.01
267,-0.01,-0.01
271,-0.01,-0.18749901819209833
272,-0.01,-0.14689317187228043
273,-0.01,-0.12130632025427454
275,-0.01,-0.08827966033917908
277,-0.01,-0.1087078379448664
278,-0.01,-0.21973308699894434
280,-0.01,-0.07302278426983391
283,-0.01,-0.6138860892803987
284,-0.01,-0.5843451857173195
286,-0.01,-0.18356573780474195
288,-0.01,-0.4002026091645187
289,-0.01,-0.01
290,-0.01,-0.4105354789185618
292,-0.01,-0.016489362293936546
293,-0.01,-0.01
294,-3.0,-3.0
296,-3.0,-3.0
298,-0.01,-0.01
300,-0.01,-0.07660031298133578
303,-0.01,-0.024716089344852754
306,-0.01,-0.17430624134905687
307,-0.01,-0.01
308,-0.01,-0.01
311,-0.01,-0.01
313,-0.01,-0.01
314,-0.01,-0.01
316,-3.0,-3.0
320,-0.01,-0.01
321,-0.01,-0.05797503022058535
322,-0.4356086488256515,-1.412029605720568
324,-0.01,-0.01
325,-0.01,-0.01
326,-0.01,-0.01
327,-0.01,-0.01
328,-0.01,-0.01327148883715205
330,-0.01,-0.25215965197079615
331,-0.01,-0.01
332,-0.01,-0.01
333,-0.01,-0.028052989125432953
334,-0.01,-0.01
335,-0.01,-0.01
336,-0.01,-0.01
337,-0.01,-0.01
338,-0.01,-0.01
339,-0.2974420353634844,-1.2879104392554093
340,-0.01,-0.01
342,-0.01,-0.01
343,-0.01,-0.01
344,-0.3085023286879154,-1.2884379796416185
348,-0.01,-0.12653179703220216
349,-0.01,-0.027794180655550428
351,-0.01,-0.461828171076659
353,-0.01,-0.01
356,-0.01,-0.8680074028325545
357,-2.3344789732225046,-3.0
359,-0.01,-0.010753053526737673
362,-0.01,-0.01
363,-0.01,-0.01
364,-0.01,-0.01
365,-0.01,-0.017766589948889387
366,-0.01,-0.3675933748420578
367,-0.01,-0.2315378694860693
368,-0.01,-0.01
370,-0.01,-0.01
371,-0.01,-0.01
372,-0.01,-0.01
373,-1.1398758238193851,-2.088977760734937
377,-0.01,-0.11254835346990932
378,-0.01,-0.01
379,-0.01,-0.01772068667654995
383,-0.01,-0.01408511047134647
386,-0.01,-0.01
387,-0.01,-0.01
389,-0.01,-0.01
392,-0.01,-0.01
393,-0.2698759725010871,-1.2555457287935412
398,-0.01,-0.2709882880767184
399,-0.01,-0.01
400,-0.01,-0.01
401,-0.01,-0.0717556870532716
